Year,Week,Classification,Age,Location,Number_of_Visit_Cases,Total_Number_of_health_insurance_Visit_Cases
2008,14,０,2,2,33,182
2008,14,０,2,1,25,267
2008,14,０,2,4,0,17
2008,14,０,2,3,1,35
2008,14,０,2,1,0,74
2008,14,０,2,4,3,25
2008,14,０,2,5,1,6
2008,14,０,2,2,0,4
2008,14,０,2,3,2,26
2008,14,０,2,2,1,1
2008,14,０,2,1,5,214
2008,14,０,2,3,8,135
2008,14,０,2,1,1,25
2008,14,０,2,2,0,4
2008,14,０,2,1,10,74
2008,14,０,2,1,3,65
2008,14,０,2,1,1,13
2008,14,０,2,3,5,33
2008,14,０,2,3,1,36
2008,14,０,2,2,38,155
2008,14,０,18,2,6,173
2008,14,０,18,1,3,229
2008,14,０,18,4,0,7
2008,14,０,18,3,0,49
2008,14,０,18,1,0,26
2008,14,０,18,4,0,21
2008,14,０,18,5,0,4
2008,14,０,18,2,0,9
2008,14,０,18,3,0,39
2008,14,０,18,2,0,17
2008,14,０,18,1,1,133
2008,14,０,18,3,0,111
2008,14,０,18,1,0,14
2008,14,０,18,5,0,3
2008,14,０,18,2,0,16
2008,14,０,18,1,3,105
2008,14,０,18,1,0,19
2008,14,０,18,1,0,8
2008,14,０,18,3,0,14
2008,14,０,18,3,0,14
2008,14,０,18,2,2,80
2008,14,０,48,2,18,1604
2008,14,０,48,1,25,2570
2008,14,０,48,4,0,105
2008,14,０,48,3,1,611
2008,14,０,48,1,1,267
2008,14,０,48,4,1,217
2008,14,０,48,5,0,16
2008,14,０,48,2,2,95
2008,14,０,48,3,1,288
2008,14,０,48,2,2,80
2008,14,０,48,1,10,1259
2008,14,０,48,3,6,1284
2008,14,０,48,1,1,196
2008,14,０,48,2,2,150
2008,14,０,48,1,5,941
2008,14,０,48,1,3,259
2008,14,０,48,1,0,82
2008,14,０,48,3,1,184
2008,14,０,48,3,1,279
2008,14,０,48,2,18,734
2008,14,０,48,5,1,6
2008,14,０,9,2,15,163
2008,14,０,9,1,19,194
2008,14,０,9,4,0,11
2008,14,０,9,3,1,26
2008,14,０,9,1,0,41
2008,14,０,9,4,2,22
2008,14,０,9,5,1,4
2008,14,０,9,2,0,2
2008,14,０,9,3,1,27
2008,14,０,9,2,0,2
2008,14,０,9,1,2,109
2008,14,０,9,3,2,96
2008,14,０,9,1,1,22
2008,14,０,9,5,0,1
2008,14,０,9,2,0,2
2008,14,０,9,1,1,41
2008,14,０,9,1,3,27
2008,14,０,9,1,1,6
2008,14,０,9,3,0,14
2008,14,０,9,3,0,25
2008,14,０,9,2,16,101
2008,14,０,65,2,8,879
2008,14,０,65,1,15,1574
2008,14,０,65,4,1,84
2008,14,０,65,3,1,291
2008,14,０,65,1,0,204
2008,14,０,65,4,4,176
2008,14,０,65,5,1,18
2008,14,０,65,2,0,51
2008,14,０,65,3,1,194
2008,14,０,65,2,0,58
2008,14,０,65,1,4,709
2008,14,０,65,3,3,641
2008,14,０,65,1,0,179
2008,14,０,65,5,0,1
2008,14,０,65,2,1,95
2008,14,０,65,1,6,494
2008,14,０,65,1,2,132
2008,14,０,65,1,0,50
2008,14,０,65,3,1,100
2008,14,０,65,3,1,274
2008,14,０,65,2,13,506
2008,14,０,65,5,0,1
2008,14,1,2,2,3030,42438
2008,14,1,2,1,1402,22518
2008,14,1,2,4,114,1910
2008,14,1,2,3,1688,25572
2008,14,1,2,1,360,5138
2008,14,1,2,4,175,3186
2008,14,1,2,5,41,901
2008,14,1,2,2,548,7030
2008,14,1,2,3,727,10542
2008,14,1,2,2,724,6782
2008,14,1,2,1,2098,25727
2008,14,1,2,3,2554,34534
2008,14,1,2,1,333,3663
2008,14,1,2,5,2,60
2008,14,1,2,2,756,10213
2008,14,1,2,1,2661,40931
2008,14,1,2,1,437,5836
2008,14,1,2,1,419,6463
2008,14,1,2,3,514,6275
2008,14,1,2,3,280,3979
2008,14,1,2,2,1325,21293
2008,14,1,2,5,119,1522
2008,14,1,18,2,1791,42366
2008,14,1,18,1,1174,29428
2008,14,1,18,4,49,1808
2008,14,1,18,3,1118,25315
2008,14,1,18,1,148,4528
2008,14,1,18,4,102,3675
2008,14,1,18,5,28,1050
2008,14,1,18,2,313,5610
2008,14,1,18,3,412,9684
2008,14,1,18,2,295,5869
2008,14,1,18,1,1089,21499
2008,14,1,18,3,1792,37305
2008,14,1,18,1,202,4204
2008,14,1,18,5,7,193
2008,14,1,18,2,336,7877
2008,14,1,18,1,2154,42601
2008,14,1,18,1,252,5494
2008,14,1,18,1,294,4678
2008,14,1,18,3,240,6257
2008,14,1,18,3,224,3653
2008,14,1,18,2,676,17731
2008,14,1,18,5,60,2198
2008,14,1,48,2,6957,241272
2008,14,1,48,1,4938,216131
2008,14,1,48,4,365,13909
2008,14,1,48,3,4352,158819
2008,14,1,48,1,658,29498
2008,14,1,48,4,470,24876
2008,14,1,48,5,69,4133
2008,14,1,48,2,1214,36264
2008,14,1,48,3,1649,65721
2008,14,1,48,2,1088,34898
2008,14,1,48,1,4110,132300
2008,14,1,48,3,8293,255494
2008,14,1,48,1,841,28653
2008,14,1,48,5,13,457
2008,14,1,48,2,1596,52124
2008,14,1,48,1,8265,249851
